eviction_aggressiveness,rate_per_sec,context_tokens,requested_output_tokens,completed_output_tokens,latency_sec,ttft_sec,success,met_slo,error
baseline,1.0,2871,141,141,4.165270589000102,0.8630501000006916,True,True,
baseline,1.0,276,215,215,6.166393045999939,0.7884108660000493,True,False,
baseline,1.0,269,182,182,4.723118567000711,0.09816064500046195,True,True,
baseline,1.0,2963,370,370,8.755912458999774,0.10565812700042443,True,False,
baseline,1.0,231,283,283,6.877048678999927,0.061730809999971825,True,False,
baseline,1.0,242,193,193,4.66449098799967,0.0654329079998206,True,True,
baseline,1.0,3568,324,324,10.153032678000272,0.3501460600000428,True,False,
baseline,1.0,245,344,344,10.133908808999877,0.04673145300057513,True,False,
baseline,1.0,775,166,166,3.578070311999909,0.05153790000076697,True,True,
baseline,1.0,2234,467,467,12.782456457999615,0.0847224709996226,True,False,
baseline,1.0,3753,341,341,10.26834885199969,0.1460297610001362,True,False,
baseline,1.0,492,145,145,5.935737407000488,0.07567444400046952,True,False,
baseline,1.0,2286,90,90,4.792116440999962,0.07769658699999127,True,True,
baseline,1.0,210,335,335,9.769984484000815,0.07530229700023483,True,False,
baseline,1.0,499,427,427,11.423645654000211,2.806532784999945,True,False,
baseline,1.0,184,317,317,6.629700086000412,0.06762167400029284,True,False,
baseline,1.0,1988,376,376,7.713712912000119,0.06445023900050728,True,False,
baseline,1.0,1259,436,436,8.480197267999756,0.057518059000358335,True,False,
baseline,1.0,1912,191,191,3.9399207520000346,0.09564664699973946,True,True,
baseline,1.0,1968,288,288,5.512191023999549,0.0884347359997264,True,False,
baseline,1.0,365,496,496,8.821801832999881,0.07730408799943689,True,False,
baseline,1.0,448,423,423,7.42635288999918,0.06550721099938528,True,False,
baseline,1.0,1758,329,329,5.684527721999984,0.06116295599986188,True,False,
baseline,1.0,948,241,241,4.158953019000364,0.058258357000340766,True,True,
baseline,1.0,503,296,296,5.080555283999274,0.07094479099941964,True,False,
baseline,1.0,297,221,221,3.7784154270002546,0.07837129099971207,True,True,
baseline,1.0,1868,176,176,2.823065303000476,0.06460927300031472,True,True,
baseline,1.0,408,499,499,6.62188436499946,0.055486225000095146,True,False,
baseline,1.0,383,217,217,3.140950471999531,0.04418948900001851,True,True,
baseline,1.0,2109,104,104,1.5920918459996756,0.046663484000418975,True,True,
baseline,1.0,1420,325,325,4.317675181000595,0.0561114420006561,True,True,
