eviction_aggressiveness,rate_per_sec,context_tokens,requested_output_tokens,completed_output_tokens,latency_sec,ttft_sec,success,met_slo,error
baseline,1.0,1932,503,503,8.603947521998634,0.6134839650003414,True,False,
baseline,1.0,1530,77,77,1.557419597000262,0.5408109250020061,True,True,
baseline,1.0,478,60,60,0.8522016770002665,0.048305266001989366,True,True,
baseline,1.0,3987,48,48,1.5073697280022316,0.7777095400015241,True,True,
baseline,1.0,1837,74,74,1.1156765609994181,0.0788020210020477,True,True,
baseline,1.0,2254,459,459,8.130259358997137,0.050109984000300756,True,False,
baseline,1.0,2917,46,46,0.7738779809988046,0.05613566899774014,True,True,
baseline,1.0,2461,490,490,8.852680680000049,0.06585169699974358,True,False,
baseline,1.0,181,436,436,7.948385471998336,0.05691616699914448,True,False,
baseline,1.0,3045,315,315,5.921039920001931,0.05453122100152541,True,False,
baseline,1.0,1447,308,308,6.016509543998836,0.06203405799897155,True,False,
baseline,1.0,816,153,153,3.045075055997586,0.06629252399943653,True,True,
baseline,1.0,129,157,157,3.0727102609998838,0.06737686499764095,True,True,
baseline,1.0,512,409,409,8.141794766997918,0.06443276199934189,True,False,
baseline,1.0,1660,271,271,5.251552874000481,0.08328971100127092,True,False,
baseline,1.0,1425,480,480,9.540924070999608,0.0630940670016571,True,False,
baseline,1.0,2769,500,500,9.985174411998742,0.05858911699760938,True,False,
baseline,1.0,691,199,199,3.947546949999378,0.058019107000291115,True,True,
baseline,1.0,823,417,417,8.417447308998817,0.0730781059974106,True,False,
baseline,1.0,1970,318,318,6.475386084999627,0.07302704099856783,True,False,
baseline,1.0,783,122,122,2.405691328996909,0.044952908996492624,True,True,
baseline,1.0,448,36,36,0.7334654740006954,0.07200705200011726,True,True,
baseline,1.0,1877,294,294,6.0777704320025805,0.06275671000184957,True,False,
baseline,1.0,1953,48,48,1.0435570430017833,0.07921853800144163,True,True,
baseline,1.0,1986,488,488,9.667267106000509,0.07222334099787986,True,False,
baseline,1.0,2064,99,99,2.090996034999989,0.07786243300142814,True,True,
baseline,1.0,308,347,347,6.775666851001006,0.06285445100002107,True,False,
baseline,1.0,498,318,318,6.179749244998675,0.08285408399751759,True,False,
baseline,1.0,501,246,246,4.792131778001931,0.05521345799934352,True,True,
baseline,1.0,875,354,354,6.813275717999204,0.07666492499993183,True,False,
baseline,1.0,343,399,399,7.206038574000559,0.05244313599905581,True,False,
baseline,1.0,494,501,501,8.369831937001436,0.06086142800268135,True,False,
baseline,1.0,1889,132,132,2.7081141469971044,0.05462597999940044,True,True,
baseline,1.0,151,150,150,3.0782250100019155,0.07695992800290696,True,True,
baseline,1.0,320,354,354,6.232206060998578,0.06280986799902166,True,False,
baseline,1.0,2044,188,188,3.6632142749986087,0.0719263309983944,True,True,
baseline,1.0,147,188,188,3.6219966700009536,0.06898658499994781,True,True,
baseline,1.0,133,127,127,2.4549819649982965,0.07807352400050149,True,True,
baseline,1.0,1632,181,181,3.176168410998798,0.06643235099909361,True,True,
baseline,1.0,202,249,249,3.9037540770004853,0.07240432099933969,True,True,
