eviction_aggressiveness,rate_per_sec,context_tokens,requested_output_tokens,completed_output_tokens,latency_sec,ttft_sec,success,met_slo,error
window_512,1.0,357,499,499,18.243469295000978,0.2205391210009111,True,False,
window_512,1.0,2181,492,492,17.93444101299974,0.6455356529986602,True,False,
window_512,1.0,274,252,252,8.269240472000092,0.2518491750015528,True,False,
window_512,1.0,696,380,380,13.095513570999174,0.18641672000012477,True,False,
window_512,1.0,295,82,82,2.1979344979990856,0.03674803600006271,True,True,
window_512,1.0,1376,73,73,2.6953912870012573,0.048150102000363404,True,True,
window_512,1.0,601,249,249,9.311187309998786,0.06167985600040993,True,False,
window_512,1.0,369,230,230,8.670894756000052,0.045345392001763685,True,False,
window_512,1.0,2970,64,64,2.4999510279994865,0.33692109500043443,True,True,
window_512,1.0,1356,48,48,1.834168902001693,0.24761359500189428,True,True,
window_512,1.0,323,496,496,18.732569192001392,0.06350080899937893,True,False,
window_512,1.0,218,448,448,16.90955763200327,0.057898237002518727,True,False,
window_512,1.0,460,497,497,19.029093176999595,0.06477852299940423,True,False,
window_512,1.0,3452,225,225,8.78515188000165,0.2298785230013891,True,False,
window_512,1.0,1218,502,502,19.52597576500193,0.06514681499902508,True,False,
window_512,1.0,952,89,89,3.5709529079977074,0.06709376299841097,True,True,
window_512,1.0,1524,390,390,15.071008062001056,0.06592037700102082,True,False,
window_512,1.0,492,377,377,14.55020200799845,0.05864816599932965,True,False,
window_512,1.0,381,427,427,16.879336918998888,0.06189908400119748,True,False,
window_512,1.0,399,294,294,11.190220387001318,0.053144236000662204,True,False,
window_512,1.0,250,328,328,12.790571075001935,0.0576331129996106,True,False,
window_512,1.0,1311,431,431,17.000313788001222,0.047631437999370974,True,False,
window_512,1.0,1420,395,395,15.634263387000829,0.07144937600241974,True,False,
window_512,1.0,1996,148,148,5.407874896998692,0.06755921700096224,True,False,
window_512,1.0,646,358,358,14.118094097000721,0.057377077002456645,True,False,
window_512,1.0,236,440,440,17.092873653000424,0.08048893900195253,True,False,
window_512,1.0,204,231,231,8.906329107998317,0.061711984999419656,True,False,
window_512,1.0,1864,397,397,15.542577938002069,0.061346975999185815,True,False,
window_512,1.0,739,377,377,14.844456547001755,0.0610406800005876,True,False,
window_512,1.0,425,78,78,3.0494927860017924,0.06824352200055728,True,True,
window_512,1.0,3576,146,146,6.262824809000449,0.11886456799766165,True,False,
window_512,1.0,332,484,484,16.837297688001854,0.06334197300020605,True,False,
window_512,1.0,489,107,107,4.49565673500183,0.0726873150015308,True,True,
window_512,1.0,3014,260,260,10.300469551002607,0.06531924800219713,True,False,
window_512,1.0,1418,223,223,8.967809963000036,0.07367570399946999,True,False,
window_512,1.0,249,305,305,11.198009175001062,0.08258073999968474,True,False,
window_512,1.0,273,411,411,13.595213759002945,0.07324573400182999,True,False,
window_512,1.0,277,334,334,11.332215711998288,0.08064484099668334,True,False,
window_512,1.0,489,418,418,13.071076025000366,0.06877860199892893,True,False,
window_512,1.0,391,493,493,14.676762077000603,0.08111215000099037,True,False,
window_512,1.0,1896,64,64,2.6242239829989558,0.07839636499920744,True,True,
window_512,1.0,1799,199,199,7.1365752710007655,0.06784633600182133,True,False,
window_512,1.0,159,498,498,13.624398953998025,0.050799966000340646,True,False,
